epoch,val_mIoU,step,val_OA,val_F1,train_OA,train_F1,train_mIoU
0,0.792146623134613,309,0.8663950562477112,0.8824132084846497,,,
0,,309,,,0.7483389973640442,0.7305189371109009,0.5800569653511047
