step,val_mIoU,epoch,val_OA,val_F1,train_F1,train_mIoU,train_OA
737,0.7195897102355957,0,0.8902552723884583,0.8286281824111938,,,
737,,0,,,0.619716465473175,0.4787593185901642,0.7260923981666565
1475,0.7376430034637451,1,0.8963489532470703,0.8422191739082336,,,
1475,,1,,,0.7395312786102295,0.6007562875747681,0.7975801229476929
